Vertex 497.889 354.371
410.874 246.775 429.246 231.92
429.246 231.92 431.955 229.731
Vertex 636.129 417.467
-177.09 2000 -168.297 1980.93
-168.297 1980.93 -120.523 1877.29
-120.523 1877.29 -74.4181 1777.28
-74.4181 1777.28 -29.9826 1680.89
-29.9826 1680.89 12.785 1588.12
12.785 1588.12 53.8856 1498.96
53.8856 1498.96 93.3203 1413.42
93.3203 1413.42 131.091 1331.49
131.091 1331.49 167.199 1253.16
167.199 1253.16 201.646 1178.43
201.646 1178.43 234.436 1107.3
234.436 1107.3 265.571 1039.76
265.571 1039.76 295.056 975.799
295.056 975.799 322.895 915.405
322.895 915.405 349.095 858.566
349.095 858.566 373.665 805.264
373.665 805.264 396.614 755.475
396.614 755.475 417.956 709.171
417.956 709.171 437.71 666.311
437.71 666.311 455.897 626.847
455.897 626.847 472.549 590.709
472.549 590.709 487.707 557.809
487.707 557.809 501.424 528.027
501.424 528.027 513.774 501.207
513.774 501.207 524.851 477.137
524.851 477.137 534.78 455.547
534.78 455.547 543.72 436.088
543.72 436.088 551.867 418.33
551.867 418.33 559.455 401.76
559.455 401.76 566.748 385.8
566.748 385.8 559.455 401.76
559.455 401.76 566.748 385.8
566.748 385.8 574.027 369.833
574.027 369.833 581.574 353.245
581.574 353.245 589.652 335.455
589.652 335.455 597.917 317.227
711.699 280.902 688.142 288.457
688.142 288.457 665.218 295.796
665.218 295.796 643.839 302.625
643.839 302.625 623.525 309.097
623.525 309.097 603.752 315.378
603.752 315.378 623.525 309.097
623.525 309.097 603.752 315.378
603.752 315.378 597.917 317.227
1199.97 2000 1199.31 1997.69
1199.31 1997.69 1169.14 1891.65
1169.14 1891.65 1140.06 1789.43
1140.06 1789.43 1112.07 1691.02
1112.07 1691.02 1085.16 1596.43
1085.16 1596.43 1059.33 1505.65
1059.33 1505.65 1034.58 1418.67
1034.58 1418.67 1010.92 1335.49
1010.92 1335.49 988.332 1256.09
988.332 1256.09 966.819 1180.47
966.819 1180.47 946.376 1108.61
946.376 1108.61 926.999 1040.49
926.999 1040.49 908.683 976.106
908.683 976.106 891.421 915.42
891.421 915.42 875.204 858.406
875.204 858.406 860.022 805.025
860.022 805.025 845.86 755.23
845.86 755.23 832.702 708.961
832.702 708.961 820.527 666.14
820.527 666.14 809.307 626.67
809.307 626.67 799.008 590.428
799.008 590.428 789.585 557.258
789.585 557.258 780.983 526.963
780.983 526.963 773.133 499.297
773.133 499.297 765.951 473.961
765.951 473.961 759.335 450.593
759.335 450.593 753.166 428.771
753.166 428.771 747.309 408.013
747.309 408.013 741.618 387.799
741.618 387.799 747.309 408.013
747.309 408.013 741.618 387.799
741.618 387.799 735.938 367.582
735.938 367.582 730.116 346.815
730.116 346.815 724.005 324.976
724.005 324.976 717.471 301.585
717.471 301.585 711.699 280.902
Vertex 462.859 61.1171
601.607 78.1737 -nan -nan
601.607 78.1737 603.983 67.0727
603.983 67.0727 609.045 43.4563
609.045 43.4563 614.328 18.8724
614.328 18.8724 619.924 -7.12372
619.924 -7.12372 625.922 -34.9346
625.922 -34.9346 632.395 -64.9142
632.395 -64.9142 639.409 -97.3672
639.409 -97.3672 647.02 -132.55
647.02 -132.55 655.272 -170.677
655.272 -170.677 664.202 -211.923
664.202 -211.923 673.843 -256.431
673.843 -256.431 684.218 -304.317
